HÓNAP;2021-08;2021-09;2021-10;2021-11;2021-12;2022-01;2022-02;2022-03;2022-04;2022-05;2022-06;2022-07
Ország;;;;;;;;;;;;
Görögország;0,7270;0,6100;0,3950;0,2310;0,1890;0,1480;0,1820;0,2350;0,2930;0,5260;0,6430;0,7600
Spanyolország;0,6780;0,5274;0,5343;0,4565;0,4048;0,3357;0,4511;0,4727;0,5708;0,5568;0,6448;0,7344
Franciaország;0,5800;0,4600;0,4500;0,3940;0,3830;0,3742;0,3820;0,4050;0,4770;0,5060;0,5630;0,6350
Horvátország;0,9530;0,5970;0,3150;0,1720;0,1810;0,1820;0,2520;0,2410;0,3670;0,4010;0,6760;0,9060
Olaszország;0,7520;0,4970;0,4090;0,3350;0,3360;0,3110;0,3680;0,3700;0,4250;0,4140;0,5540;0,6630
Ciprus;0,7980;0,6420;0,7500;0,4310;0,2600;0,1670;0,1830;0,3370;0,5830;0,6580;0,7560;0,7538
Málta;0,6090;0,5840;0,5580;0,4110;0,2780;0,2080;0,3280;0,3670;0,5680;0,5740;0,6510;0,7430
Szlovénia;0,7012;0,5013;0,4550;0,3255;0,3081;0,2372;0,3243;0,3229;0,3780;0,4037;0,5609;0,5781
Montenegró;0,8090;0,4630;0,2800;0,2250;0,1530;0,1920;0,2130;0,2360;0,3390;0,4030;0,5420;0,7290
Észak Macedónia;0,3894;0,2140;0,1889;0,1536;0,1360;0,1493;0,1592;0,1493;0,1715;0,2441;0,2954;0,3983
Albánia;0,5070;0,2160;0,1000;0,0970;0,0900;0,0800;0,0770;0,0770;0,0940;0,1530;0,2320;0,2348
Törökország;0,6711;0,5663;0,5512;0,3575;0,3445;0,3130;0,3165;0,3838;0,3127;0,4842;0,5882;0,6125
