Név;Város;Távolság a központtól;Csillagok száma;Értékelés;Értékelők száma;Szállás típusa;;
Villa Serenità;Milánó;1,7;4;3,7;6;Nyaraló;;
Casa Bella Vista;Milánó;2,3;3;3,7;53;Nyaraló;;
Palazzo del Cuore;Milánó;1,6;4;4,4;128;Nyaraló;;
La Dolce Dimora;Milánó;0,4;4;4,5;174;Nyaraló;;
Casa dei Sogni;Milánó;3,3;4;4;22;Nyaraló;;
Villa Incantata;Paderno Dugnano;8;3;4,1;131;Nyaraló;;
Il Nido Felice;Sesto San Giovanni;5,6;3;4,5;6;Nyaraló;;
Casa del Sole;Milánó;1,5;3;4;73;Nyaraló;;
La Casetta Romantica;Milánó;1,2;4;3,4;150;Nyaraló;;
Villa dei Fiori;Milánó;3,2;4;4;41;Nyaraló;;
Dimora d’Amore;Milánó;2,6;4;3,7;36;Nyaraló;;
Il Rifugio Tranquillo;Milánó;5,1;4;2,7;7;Lakóautó kemping;;Név
La Casa Affascinante;Milánó;5;4;3,2;8;Lakóautó kemping;;
Villa della Luna;Solbiate Olona;20;3;3,7;4;Nyaraló;;
La Cascina Graziosa;Milánó;2,7;3;5;1;Nyaraló;;
La Dimora dei Ricordi;Milánó;2,3;3;4;14;Apartmanház;;
Casa del Cielo;Milánó;2,6;4;4;119;Nyaraló;;
Villa Amore Mio;Vimercate;14;4;4,5;90;Apartmanház;;
Il Casale Felice;Cercola;5,6;3;4;18;Vendégház reggelivel;;
La Casa di Pietra;Nápoly;0,2;3;3,7;26;Vendégház reggelivel;;
Casa del Buongiorno;Nápoly;0,4;3;4,5;32;Vendégház reggelivel;;
La Dimora Accogliente;Nápoly;0,6;3;3,5;11;Nyaraló;;
Villa del Vino;Róma;3;4;3,7;15;Nyaraló;;
La Casetta del Bosco;Róma;3;4;3,7;15;Nyaraló;;
Il Palazzo delle Stelle;Róma;1;4;4,4;111;Nyaraló;;
La Casa del Vento;Róma;1;4;4,4;111;Nyaraló;;
Casa delle Delizie;Róma;0,8;3;4;9;Vendégház;;
Villa degli Ulivi;Fiumicino;15;3;3,5;209;Nyaraló;;
La Dimora Raffinata;Fiumicino;15;3;3,5;209;Nyaraló;;
Casa del Cuore Felice;Róma;2,5;4;4;114;Nyaraló;;
Villa Incantevole;Róma;2,5;4;4;114;Nyaraló;;
La Casetta Dorata;Róma;0,4;3;4,4;23;Vendégház;;
Casa dei Sogni Blu;Róma;0,4;3;4,4;23;Vendégház;;
Il Nido del Sole;Róma;1,8;3;3,2;54;Vendégház reggelivel;;
Villa del Mare;Róma;1,8;3;3,2;54;Vendégház reggelivel;;
La Dimora Verde;Róma;0,2;3;4,5;25;Vendégház;;
Casa delle Querce;Róma;0,2;3;4,5;25;Vendégház;;
Villa dei Sogni Dolci;Róma;0,3;3;4,3;60;Apartmanház;;
La Casetta del Sole;Róma;0,3;3;4,3;60;Apartmanház;;
Casa Romantica;Róma;0,5;1;4;161;Nyaraló;;
Villa Tranquilla;Róma;0,5;1;4;161;Nyaraló;;
La Dimora dei Ciliegi;Róma;1,6;4;4,3;137;Nyaraló;;
Casa Amorevole;Róma;1,6;4;4,3;137;Nyaraló;;
La Casa delle Stelle Cadenti;Róma;1,1;2;4,3;43;Nyaraló;;
Villa dei Cipressi;Róma;1,1;2;4,3;43;Nyaraló;;
La Casetta del Sorriso;Róma;1,6;3;3,7;208;Nyaraló;;
Casa del Sogno Dorato;Róma;1,6;3;3,7;208;Nyaraló;;
Il Palazzo Felice;Róma;2;3;3,4;204;Nyaraló;;
La Dimora del Vino;Róma;2;3;3,4;204;Nyaraló;;
